Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
TimesNet,P4 Frequency,5,3.080793,0.0919001767745851,5.644068200000001,0.07991506523653726,2.71444,0.06977250461320704,3.0711795,0.10047365924833228,56.668000000000006,2.1500641850884374,0.9656086,0.000974292071198354,0.6377193999999999,0.019023096462984154,2.7171999999999996,0.07179565446459843,5,5.124522,0.09909875437158641,9.1795632,0.24823484726798564,4.53164,0.08487408556208423,5.1612475,0.07437669087993912,46.124,2.4691585611296825,0.9085278000000001,0.004966627725126977,1.0624069999999999,0.020545131004693018,4.58754,0.08869443274524058
TimeMixer,P4 Frequency,5,3.082373,0.05514758011735427,5.6647238,0.07259153755473165,2.71776,0.03777049642247241,3.07192825,0.05706229471540301,55.964,1.5116295842566743,0.9653577999999999,0.000890021662657712,0.6380464,0.011415552997555554,2.7203,0.040814801236806246,5,5.315078199999999,0.09101411707290263,9.500330000000002,0.18224958483574127,4.6766000000000005,0.07765114294071922,5.284610499999999,0.07558477470198617,48.571999999999996,2.9632711654521255,0.9020585999999999,0.003761203030946352,1.1019126,0.018869188224192358,4.76002,0.09674947855156635
Chronos,P6 Foundation,5,3.0842994,0.0687526762405653,5.526313,0.19984218568560533,2.7053400000000005,0.05561257411772989,3.0944705,0.07342619925305946,59.29599999999999,2.5853788890605576,0.9669924,0.0024136573576214425,0.6384449999999999,0.014231575555784429,2.7009000000000003,0.05397569823540955,5,5.4225892,0.510932932856515,9.4915862,1.152908267469429,4.70816,0.39750682811745486,5.4225892,0.510932932856515,47.348,2.4007948683717224,0.9008331999999999,0.02569947232454394,1.1242013999999998,0.10592573849938455,4.7332,0.35612740416878885
TFT,P2 Transformer,5,3.0885796,0.07172130835560662,5.703283600000001,0.12092938170287641,2.70102,0.05267691714593775,3.064643,0.05970869695865094,58.486000000000004,1.9554191366558717,0.9648745999999999,0.001474003880591925,0.6393312,0.014846013867702002,2.6966200000000002,0.05278823353740863,5,5.1004432,0.08979796405798951,9.0001724,0.16165844077263614,4.47762,0.05986863619625889,5.07988225,0.0892514964114747,46.634,2.339338368000664,0.9121036,0.003144730106066346,1.0574146,0.018616644430186662,4.50444,0.06426627731555631
CoST,P4 Frequency,5,3.0904716,0.05131546048356192,5.6545096,0.09685940696617958,2.72234,0.0457182064390107,3.11293075,0.027740376929441767,56.86999999999999,1.37775179186964,0.9654780000000001,0.001180607301349603,0.6397228,0.010622243838285764,2.7250199999999998,0.044377624992782014,5,5.2579434,0.10796201362812757,9.4294674,0.292022491159568,4.628259999999999,0.08997945543289329,5.26837,0.11843215587626527,50.612,0.3816490534509436,0.9034572000000001,0.005926372968350884,1.0900674000000001,0.02238239206697981,4.72702,0.09307857755681492
GUMNetHet,P8 GUMNet Ours,5,3.0945244,0.15419919949934888,5.559226000000001,0.3101979297809705,2.71062,0.1319887176996579,2.9405324,0.4601874507630994,62.434000000000005,14.549373319837523,0.9665376,0.003642879663123681,0.6405614,0.0319188115856465,2.7124800000000002,0.13106890401617016,4,5.14667875,0.28049339336727275,9.170702,0.4544154541353099,4.534975000000001,0.2322688461137224,4.848915750000001,0.7931413094765571,59.45,18.48656133519698,0.908547,0.008946230351382683,1.06700025,0.058151543536586345,4.573124999999999,0.25021233357890255
Time_MoE,P7 SparseMoE,5,3.1002506,0.08132628560705325,5.590589,0.07421605777458141,2.71494,0.06420226164240635,3.0903985,0.08821641877366139,55.355999999999995,0.8224986322177085,0.9662580000000001,0.0008894312789642571,0.6417468,0.016834579453018736,2.72018,0.06250857221213746,5,5.1241424,0.06900916634360983,9.1034626,0.2043309792925193,4.53916,0.05324616793723268,5.10084975,0.056921819886468,47.96,2.6598345813226807,0.9100583999999999,0.004019623843097779,1.0623282,0.014306720706017864,4.634539999999999,0.06921865644463207
GUMNet_Graph,P8 GUMNet Ours,5,3.1018552,0.04012576239475083,5.596563,0.07994870044972563,2.7089999999999996,0.036407801361796,2.2133626,0.02661476620675071,58.588,2.142534947206228,0.9661852,0.0009747531790150796,0.642079,0.008305950373075941,2.7072200000000004,0.03214308012621073,5,5.297536599999999,0.1291208694620665,9.5961618,0.3525356433590229,4.64082,0.08431536989185312,3.8060616000000005,0.06359979503614777,43.370000000000005,3.9240183485809537,0.8999748000000001,0.007439594381416245,1.098276,0.026768962101657946,4.68528,0.07513727170985114
TTM,P4 Frequency,5,3.1027086,0.04039465084191216,5.500052799999999,0.1391850849012206,2.7174400000000007,0.03142722386721422,3.1089167499999997,0.04297620433085606,58.184000000000005,0.7424715482764324,0.9673269999999998,0.0016307327187494918,0.6422558,0.00836163575863001,2.7243600000000003,0.03428116684128478,5,5.034823399999999,0.17336386464958622,8.8727406,0.29539420830652746,4.43256,0.14256339782707197,5.06258275,0.18361884270326823,46.634,1.5669537325651959,0.9145078,0.005783715947381907,1.0438106,0.03594148523697932,4.50326,0.15292821322437553
Gated_TabNet,P7 SparseMoE,5,3.1177802000000003,0.05818546696349525,5.616868200000001,0.08260472176673664,2.72744,0.04227891200113835,3.121331,0.06456697920764139,60.102,1.5337196614766346,0.9659388,0.0010092760573797526,0.6453754,0.012044443127019168,2.72218,0.04585470095857131,5,5.2178556,0.07945281023248953,8.9980538,0.08851263574970551,4.59922,0.06438320899116476,5.21980825,0.08872357131668838,47.96,1.512904491367517,0.9121649999999999,0.0017224230606909488,1.0817567999999997,0.01647181437972153,4.64228,0.074349751848947
