Model,Paradigm,XANG_Seeds,DAU_Seeds,XANG_MAE_mean,XANG_MAE_std,DAU_MAE_mean,DAU_MAE_std,XANG_RMSE_mean,XANG_RMSE_std,DAU_RMSE_mean,DAU_RMSE_std,XANG_MAPE_mean,XANG_MAPE_std,DAU_MAPE_mean,DAU_MAPE_std,XANG_CRPS_mean,XANG_CRPS_std,DAU_CRPS_mean,DAU_CRPS_std,XANG_DA_mean,XANG_DA_std,DAU_DA_mean,DAU_DA_std,XANG_R2_mean,XANG_R2_std,DAU_R2_mean,DAU_R2_std,XANG_MASE_mean,XANG_MASE_std,DAU_MASE_mean,DAU_MASE_std,XANG_SMAPE_mean,XANG_SMAPE_std,DAU_SMAPE_mean,DAU_SMAPE_std
GUMNet_Patch,P8 GUMNet Ours,5,1,3.2529647999999995,0.100271798775927,5.907462,0.0,5.8785944,0.25446374112049824,11.450835,0.0,2.83154,0.07215767734621162,3.4129,0.0,2.3630705,0.10103201342520088,,0.0,56.668000000000006,1.6723325028235274,58.59,0.0,0.9626286000000001,0.003253178544131893,0.961715,0.0,0.6733586,0.020756262867867126,1.037806,0.0,2.82818,0.07023216926736646,3.415,0.0
TimeMachine,P5 SSM,5,1,3.2552388,0.10199402258054145,5.731295,0.0,5.965799199999999,0.2308686848919965,11.63041,0.0,2.8412599999999997,0.07694732224060814,3.3066,0.0,3.234808,0.10448151922469347,5.731295,0.0,57.678,0.9810891906447653,60.1,0.0,0.9615262,0.0029408535087623914,0.960505,0.0,0.6738291999999999,0.021112527554984956,1.006857,0.0,2.85038,0.08468828490411172,3.319,0.0
GUMNet_Fusion,P8 GUMNet Ours,5,1,3.2562766000000005,0.15674148962237155,6.224642,0.0,6.0182872,0.4582497530977622,11.668165,0.0,2.7961799999999997,0.11563477677584721,3.5552,0.0,2.3502698,0.08398228013432363,,0.0,55.86,1.515968337400225,57.07,0.0,0.960678,0.005806725858864016,0.960248,0.0,0.6740440000000001,0.03244532601777951,1.093527,0.0,2.7976600000000005,0.11378551050111778,3.5902,0.0
Reformer,P2 Transformer,5,1,3.2704709999999997,0.1462482031916974,6.233119,0.0,5.9002984,0.3696809715062973,12.270267,0.0,2.8333800000000005,0.11561659742441827,3.5587,0.0,3.3229300000000004,0.11391197376044368,,0.0,56.772000000000006,1.7376697039426112,58.08,0.0,0.9622752,0.004790444547221068,0.95604,0.0,0.6769824,0.030272996796485173,1.095016,0.0,2.8472999999999997,0.12247257652225668,3.604,0.0
UniTS,P3 Inverted,5,1,3.2828066,0.061495748141152,6.288321,0.0,5.860578000000001,0.15238913626502376,11.9338,0.0,2.85036,0.049186526610444925,3.6397,0.0,3.2857417499999997,0.06844036288395539,,0.0,49.492000000000004,0.3193994364428334,54.55,0.0,0.9629019999999999,0.0019407238855643288,0.958418,0.0,0.6795356,0.012729397748518976,1.104714,0.0,2.8610800000000003,0.05342484066424522,3.6596,0.0
MambaFormer,P5 SSM,5,1,3.3130598000000004,0.1758621378675921,6.458586,0.0,6.002771999999999,0.335073119504385,12.772137,0.0,2.8764600000000002,0.13743974097763714,3.7505,0.0,3.2634927499999997,0.16240351655887103,,0.0,55.455999999999996,1.9523175971137479,54.55,0.0,0.960985,0.004364771884073673,0.95237,0.0,0.6857979999999999,0.03640324915168975,1.134626,0.0,2.8814599999999997,0.130859277088023,3.7858,0.0
BiMamba,P5 SSM,5,1,3.3178652,0.05516607744764894,5.914128,0.0,6.1268899999999995,0.19427766196863713,11.845525,0.0,2.89182,0.04687435972896052,3.4672,0.0,3.31432325,0.061166927969185284,5.914128,0.0,56.366,2.084424141099888,57.07,0.0,0.9594403999999999,0.0025203652592431843,0.959031,0.0,0.686793,0.011419451790694674,1.038977,0.0,2.9089199999999997,0.04241661938438749,3.4822,0.0
Crossformer,P3 Inverted,5,1,3.3269509999999998,0.2234789226473047,7.094871,0.0,6.1292618,0.6420952675821242,15.46681,0.0,2.84088,0.14948564345782497,4.0496,0.0,3.2742455,0.2203161079749958,,0.0,55.254,1.5819557515935778,58.59,0.0,0.9590044000000001,0.008515433085874142,0.930152,0.0,0.6886734,0.04625971039511596,1.246406,0.0,2.8410199999999994,0.15110565045689064,3.9663,0.0
Lag_Llama,P6 Foundation,5,1,3.3351374,0.1700327845429816,6.143836,0.0,6.0323224,0.4973054042109737,11.521426,0.0,2.90892,0.1314050136029824,3.5872,0.0,3.379454,0.16223171575404116,,0.0,55.254,2.6827344259169603,54.04,0.0,0.9604554000000001,0.006676592711855336,0.961242,0.0,0.690368,0.03519663100354921,1.079331,0.0,2.91294,0.1278479033852335,3.5873,0.0
FedFormer,P2 Transformer,5,1,3.3552495999999996,0.13177534255330164,6.820437,0.0,6.0012007999999994,0.38453252534390375,13.063907,0.0,2.88774,0.10263458676294267,3.937,0.0,3.405411,0.09552536773810395,,0.0,55.660000000000004,1.442289846043437,59.6,0.0,0.9609669999999999,0.00507855936265396,0.950169,0.0,0.6945316,0.027277380611781626,1.198195,0.0,2.8957400000000004,0.09849612378159862,3.9359,0.0
GUMNet_Diffusion,P8 GUMNet Ours,5,1,3.357692,0.1528136936089172,6.166733,0.0,6.025249199999999,0.21757299896761073,12.175972,0.0,2.90302,0.11733211666035862,3.559,0.0,2.4119412000000002,0.08178809029779331,,0.0,58.69000000000001,1.4408886147096864,58.59,0.0,0.9607632,0.002850013150846848,0.956713,0.0,0.695037,0.03163214788154608,1.083354,0.0,2.90094,0.11810464173774039,3.5635,0.0
