target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std,picp_mean,picp_std,pinaw_mean,pinaw_std
DAU,7,GUMNet_Patch,3,12.015966,0.3948176532616032,20.849689666666666,0.7682615321245312,7.711133333333334,0.22285101151516745,8.752065666666667,0.28376013478699463,78.68333333333334,0.8556479026640172,0.11705733333333333,0.0031590483271601503
DAU,7,GUMNet_Wavelet,3,12.325563666666667,0.6127116346180589,21.766173666666663,1.5117330684417583,7.813466666666667,0.31731210713323477,8.812251333333334,0.3100233412089054,78.34333333333332,1.6771801731875258,0.12532766666666664,0.005385213211501772
DAU,7,GUMNet_iTrans,3,11.673513666666667,0.3212288573421343,20.50082,0.5097432834947424,7.443233333333333,0.14980908962186892,8.32464,0.3508625431376215,80.27,0.8995554457619598,0.12181933333333334,0.004179233462410697
DAU,7,NBEATS,3,11.948971,0.20830914237498138,20.763335333333334,0.15930970054059343,7.754966666666667,0.1321032298368714,9.229666666666667,0.12225961698505883,60.88333333333333,2.0738932791571836,0.072182,0.0003756048455491554
DAU,7,NHits,3,11.632854333333334,0.11244223616743448,20.169996666666666,0.08468572755980464,7.598866666666666,0.0863847980453352,8.928989666666666,0.05171696184360898,61.223333333333336,1.705002443791016,0.07277466666666667,0.0006465541998420046
DAU,7,PatchTST,3,11.600567333333332,0.12593389960742699,19.931933333333333,0.25854934943320457,7.524266666666667,0.08323643032550934,8.844559,0.10283986314168247,60.656666666666666,2.2173031667621217,0.07154566666666667,0.000627633916653125
DAU,7,TFT,3,12.265414333333334,0.4233206646200171,20.51465,0.4078960345198276,8.0639,0.27738716624963006,9.215963,0.3283191788686731,59.97666666666667,5.05110218995155,0.07868766666666667,0.00025169889418377126
DAU,7,TimesNet,1,11.970197,,21.383021,,7.8126,,9.231157,,59.86,,0.073147,
DAU,7,iTransformer,1,11.632145,,20.181689,,7.4963,,8.933548,,63.61,,0.072342,
DAU,10,DLinear,3,12.005136666666667,0.06382934609044122,22.602541000000002,0.1785276004627843,8.085833333333333,0.041483289808467765,9.302124666666666,0.05831092403086463,64.87333333333333,0.2550163393457976,0.07457866666666667,0.00015207344716725818
DAU,10,GUMNetHet,3,11.707763,0.14140849807207417,21.570486333333335,0.28757326283459,7.904599999999999,0.12954643954968406,8.526475,0.12265822357673437,75.25666666666666,0.33827996294981905,0.10896333333333334,0.0017210663361222713
DAU,10,GUMNet_Adaptive,3,11.721193999999999,0.08911972073564851,21.429372666666666,0.22682047553149629,7.9272,0.07865729463946745,8.347798333333333,0.07497262675359061,75.38333333333334,1.7281589433073978,0.11495366666666666,0.0028060114635071166
DAU,10,GUMNet_Decomp,3,11.714228333333333,0.20948937400816645,21.833738666666665,0.9138318858577485,7.893166666666666,0.14755820320583032,8.499169666666667,0.16719549460536703,75.81333333333333,2.0911798902373984,0.11043066666666668,0.004076195816362763
DAU,10,GUMNet_Fusion,3,11.878399666666667,0.3337269655456883,21.714915666666666,0.7217765497827788,7.9944,0.2208133374594929,8.225218666666667,0.3105541600064846,77.94666666666667,0.8950046554813702,0.12924066666666667,0.0009547744934450779
DAU,10,GUMNet_Mamba,3,11.831276,0.25823208524310015,21.645028333333332,0.45296893665717686,8.002266666666666,0.19178040393463916,8.547485333333332,0.2522380905599577,76.40666666666667,1.8087104061549861,0.11497,0.002730364810789947
DAU,10,GUMNet_Patch,3,11.819491333333334,0.1493736348534552,21.759357333333337,0.5297996473803409,7.9852,0.080521053147608,8.469011333333334,0.12094053384342822,75.25666666666667,1.4536276460405342,0.1168,0.0032274908210558873
