Baseline_Model,Champion_Model,Target,Horizon,Cliff_Delta,A12,Magnitude
TFT,GUMNet_Fusion,XANG,5,0.043552000000000035,0.521776,negligible
Autoformer,GUMNet_Fusion,XANG,5,0.0678780000000001,0.533939,negligible
FedFormer,GUMNet_Fusion,XANG,5,0.010564000000000018,0.505282,negligible
Informer,GUMNet_Fusion,XANG,5,0.0227139999999999,0.511357,negligible
Reformer,GUMNet_Fusion,XANG,5,0.024548000000000014,0.512274,negligible
iTransformer,GUMNet_Fusion,XANG,5,0.018065999999999915,0.509033,negligible
UniTS,GUMNet_Fusion,XANG,5,0.0213239999999999,0.510662,negligible
TimeXer,GUMNet_Fusion,XANG,5,-0.0006939999999999724,0.499653,negligible
Crossformer,GUMNet_Fusion,XANG,5,0.013648000000000104,0.506824,negligible
CARD,GUMNet_Fusion,XANG,5,0.007724000000000064,0.503862,negligible
TimesNet,GUMNet_Fusion,XANG,5,0.02542599999999995,0.512713,negligible
TimeMixer,GUMNet_Fusion,XANG,5,0.03720799999999991,0.518604,negligible
TTM,GUMNet_Fusion,XANG,5,0.02972599999999992,0.514863,negligible
FITS,GUMNet_Fusion,XANG,5,0.04659600000000008,0.523298,negligible
CoST,GUMNet_Fusion,XANG,5,0.019919999999999938,0.50996,negligible
TimeMachine,GUMNet_Fusion,XANG,5,0.04974199999999995,0.524871,negligible
S_Mamba,GUMNet_Fusion,XANG,5,0.005719999999999947,0.50286,negligible
MambaFormer,GUMNet_Fusion,XANG,5,0.032683999999999935,0.516342,negligible
BiMamba,GUMNet_Fusion,XANG,5,0.079256,0.539628,negligible
Chronos,GUMNet_Fusion,XANG,5,0.01317999999999997,0.50659,negligible
TimesFM,GUMNet_Fusion,XANG,5,0.03143600000000002,0.515718,negligible
Moirai,GUMNet_Fusion,XANG,5,0.003454000000000068,0.501727,negligible
Lag_Llama,GUMNet_Fusion,XANG,5,-0.00649999999999995,0.49675,negligible
TEMPO,GUMNet_Fusion,XANG,5,0.03723199999999993,0.518616,negligible
GPT4TS,GUMNet_Fusion,XANG,5,0.029522000000000048,0.514761,negligible
Time_MoE,GUMNet_Fusion,XANG,5,0.060659999999999936,0.53033,negligible
Gated_TabNet,GUMNet_Fusion,XANG,5,0.042254000000000014,0.521127,negligible
DLinear,GUMNet_Fusion,XANG,7,0.006786986903605019,0.5033934934518025,negligible
RLinear,GUMNet_Fusion,XANG,7,0.02412883520755238,0.5120644176037762,negligible
LTSF_Linear,GUMNet_Fusion,XANG,7,0.018133185246887784,0.5090665926234439,negligible
NBEATS,GUMNet_Fusion,XANG,7,0.016682863621639177,0.5083414318108196,negligible
NHits,GUMNet_Fusion,XANG,7,0.014333842380489514,0.5071669211902448,negligible
PatchTST,GUMNet_Fusion,XANG,7,0.015448192882595135,0.5077240964412976,negligible
TFT,GUMNet_Fusion,XANG,7,0.04145957702809011,0.5207297885140451,negligible
Autoformer,GUMNet_Fusion,XANG,7,0.0005729094358832842,0.5002864547179416,negligible
FedFormer,GUMNet_Fusion,XANG,7,-0.019355823962238006,0.490322088018881,negligible
Informer,GUMNet_Fusion,XANG,7,0.007193299088342764,0.5035966495441714,negligible
Reformer,GUMNet_Fusion,XANG,7,0.017938821787218284,0.5089694108936091,negligible
iTransformer,GUMNet_Fusion,XANG,7,0.014829006432504954,0.5074145032162525,negligible
UniTS,GUMNet_Fusion,XANG,7,0.01708639918552457,0.5085431995927623,negligible
