model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
GUMNet_Fourier,XANG,60,6.527171,13.402191,6.6407,7.169,-0.055745,1.903742,50.57,5.109271,86.07,21.6172
GUMNet_Fourier,XANG,7,4.412801,8.259421,4.0458,4.1464,0.900683,1.089461,52.74,,71.43,9.6317
GUMNet_Fusion,DAU,10,9.370517,19.248467,6.3537,6.5454,0.827614,2.644344,47.43,6.577119,70.38,17.7201
GUMNet_Fusion,DAU,1,6.224642,11.668165,3.5552,3.5902,0.960248,1.093527,57.07,,61.5,7.935
GUMNet_Fusion,DAU,20,12.870852,27.563811,9.0485,9.0493,0.517689,4.714857,44.82,9.495391,70.67,20.6389
GUMNet_Fusion,DAU,3,9.365134,18.099387,5.6488,5.7775,0.904791,1.681077,51.02,6.461737,69.7,19.2766
GUMNet_Fusion,DAU,5,10.187224,17.123647,6.0962,6.2737,0.914386,1.789662,53.03,6.804548,62.5,19.373
GUMNet_Fusion,DAU,60,9.345404,23.51945,7.8946,8.6568,-0.10088,5.787945,47.47,7.569652,81.31,23.6219
GUMNet_Fusion,DAU,7,10.397391,20.52727,6.7884,6.8633,0.841134,2.542574,54.79,7.562615,61.56,15.6279
GUMNet_Fusion,XANG,10,4.663382,9.385229,4.3865,4.5884,0.840078,1.300797,51.8,3.410658,76.67,10.5804
GUMNet_Fusion,XANG,1,2.967034,5.217555,2.5871,2.6053,0.970616,0.614171,57.07,2.232211,62.5,5.5534
GUMNet_Fusion,XANG,20,6.117282,10.949846,6.0202,6.2818,0.704139,2.057875,43.98,4.26037,73.5,13.0127
GUMNet_Fusion,XANG,3,5.454291,9.597288,4.7499,4.7342,0.900086,1.130774,44.39,3.853151,62.12,11.2486
GUMNet_Fusion,XANG,5,5.308745,9.174842,4.6617,4.8401,0.90914,1.098902,42.93,,66.5,12.0751
GUMNet_Fusion,XANG,60,6.048371,12.903172,6.1553,6.5733,0.021411,1.764093,47.38,4.898144,92.47,22.642
GUMNet_Fusion,XANG,7,4.986127,9.465306,4.5293,4.5996,0.869565,1.231008,48.97,3.654659,73.13,11.7246
GUMNet_Graph,DAU,10,9.498956,19.682832,6.4897,6.6315,0.819746,2.680589,48.59,7.059428,69.49,16.0153
GUMNet_Graph,DAU,1,6.108421,11.951983,3.4897,3.4619,0.958291,1.07311,62.63,,66.0,9.7223
GUMNet_Graph,DAU,20,12.278206,26.59822,8.6389,8.5222,0.550889,4.497759,50.17,9.918359,68.17,16.427
GUMNet_Graph,DAU,3,9.56978,17.694531,5.6989,5.6892,0.909003,1.717812,56.12,6.621702,65.15,15.8534
GUMNet_Graph,DAU,5,12.11592,19.996343,7.2349,7.405,0.883251,2.12849,51.01,8.499253,57.5,18.6825
GUMNet_Graph,DAU,60,8.909093,22.255304,7.5189,8.1742,0.014282,5.517722,47.74,6.899433,82.83,20.3657
GUMNet_Graph,DAU,7,10.237863,20.898725,6.7463,6.7595,0.835333,2.503563,47.26,7.867044,67.01,16.4804
GUMNet_Graph,XANG,10,5.016615,10.007797,4.6485,4.8633,0.818158,1.399327,50.13,3.51295,75.26,11.2926
GUMNet_Graph,XANG,1,3.06404,5.569574,2.6799,2.6825,0.966517,0.634251,60.1,2.193204,67.0,6.4296
GUMNet_Graph,XANG,20,5.890208,11.053037,5.7241,5.9923,0.698536,1.981486,46.49,4.227804,75.5,13.2579
GUMNet_Graph,XANG,3,5.309422,9.676908,4.6583,4.7318,0.898421,1.10074,48.98,3.820034,62.63,10.5075
GUMNet_Graph,XANG,5,5.319518,8.885328,4.7437,4.9069,0.914783,1.101132,45.96,,64.0,10.989
GUMNet_Graph,XANG,60,6.938126,13.391684,7.2422,7.6385,-0.05409,2.023603,49.43,5.044187,83.42,19.5483
GUMNet_Graph,XANG,7,4.784214,8.64035,4.3291,4.4227,0.89131,1.181158,50.0,3.446874,73.13,9.71
GUMNet_Mamba,DAU,10,9.780002,20.053406,6.5352,6.7463,0.812895,2.7599,47.56,7.25781,71.15,15.7912
GUMNet_Mamba,DAU,1,6.023276,11.790509,3.5287,3.5345,0.95941,1.058152,61.11,,67.5,9.5128
GUMNet_Mamba,DAU,20,12.733933,27.373435,8.9961,8.8991,0.524328,4.664701,49.83,9.809365,70.17,17.9132
GUMNet_Mamba,DAU,3,9.529498,18.49663,5.6444,5.6268,0.900566,1.710581,45.41,6.996714,65.15,16.5936
GUMNet_Mamba,DAU,5,10.490436,17.658966,6.3127,6.5547,0.90895,1.842929,50.0,6.908381,64.5,22.1101
GUMNet_Mamba,DAU,60,9.420858,23.424581,7.9967,8.8004,-0.092017,5.834677,48.18,7.350331,85.15,23.4399
GUMNet_Mamba,DAU,7,10.078455,19.782228,6.6178,6.7083,0.852457,2.464581,55.48,7.251852,68.03,18.0041
GUMNet_Mamba,XANG,10,4.850975,9.915878,4.5291,4.7776,0.821483,1.353124,48.2,3.502707,76.54,9.9498
GUMNet_Mamba,XANG,1,3.133939,5.602951,2.7201,2.7224,0.966115,0.64872,58.08,,68.0,6.3237
GUMNet_Mamba,XANG,20,6.069723,11.779584,5.8127,6.1271,0.657601,2.041876,50.5,4.364886,72.5,12.2125
GUMNet_Mamba,XANG,3,5.34783,9.394371,4.6966,4.7282,0.904266,1.108703,41.84,3.788852,71.21,11.389
GUMNet_Mamba,XANG,5,5.371048,8.724944,4.8336,4.9939,0.917832,1.111798,46.97,,66.0,11.2374
