Concurrent run started: 2026-08-17T01:54:25.428070
GPU: 2 | Models: 47 | Jobs: 658

[  85/658]  12.9% | OK:85   FAIL:0    SKIP:0   | OK           | 12880s | ETA:24308m | GUMNet_Wavelet|XANG|H3|s2025
[  86/658]  13.1% | OK:86   FAIL:0    SKIP:0   | OK           | 12899s | ETA:24164m | GUMNet_Fourier|XANG|H3|s2025
[  87/658]  13.2% | OK:87   FAIL:0    SKIP:0   | OK           | 14183s | ETA:24146m | GUMNet_Diffusion|XANG|H3|s2025
[  88/658]  13.4% | OK:88   FAIL:0    SKIP:0   | OK           | 12734s | ETA:23853m | GUMNet_Graph|XANG|H3|s2025
[  89/658]  13.5% | OK:89   FAIL:0    SKIP:0   | OK           | 2712s | ETA:23833m | DLinear|XANG|H5|s2025
[  90/658]  13.7% | OK:90   FAIL:0    SKIP:0   | OK           | 4237s | ETA:23664m | GUMNetHet|XANG|H3|s2025
[  91/658]  13.8% | OK:91   FAIL:0    SKIP:0   | OK           | 12541s | ETA:23623m | GUMNet_RL|XANG|H3|s2025
[  92/658]  14.0% | OK:92   FAIL:0    SKIP:0   | OK           | 4290s | ETA:23374m | RLinear|XANG|H5|s2025
[  93/658]  14.1% | OK:93   FAIL:0    SKIP:0   | OK           | 3771s | ETA:23162m | LTSF_Linear|XANG|H5|s2025
[  94/658]  14.3% | OK:94   FAIL:0    SKIP:0   | OK           | 12582s | ETA:22894m | GUMNet_Decomp|XANG|H3|s2025
[  95/658]  14.4% | OK:95   FAIL:0    SKIP:0   | OK           | 2551s | ETA:22720m | NBEATS|XANG|H5|s2025
[  96/658]  14.6% | OK:96   FAIL:0    SKIP:0   | OK           | 2696s | ETA:22505m | NHits|XANG|H5|s2025
[  97/658]  14.7% | OK:97   FAIL:0    SKIP:0   | OK           | 15590s | ETA:22322m | GUMNet_Fusion|XANG|H3|s2025
[  98/658]  14.9% | OK:98   FAIL:0    SKIP:0   | OK           | 3134s | ETA:22084m | PatchTST|XANG|H5|s2025
[  99/658]  15.0% | OK:99   FAIL:0    SKIP:0   | OK           | 3041s | ETA:21831m | TFT|XANG|H5|s2025
[ 100/658]  15.2% | OK:100  FAIL:0    SKIP:0   | OK           | 2179s | ETA:21595m | Autoformer|XANG|H5|s2025
[ 101/658]  15.3% | OK:101  FAIL:0    SKIP:0   | OK           | 14868s | ETA:21402m | GUMNet_Adaptive|XANG|H3|s2025
[ 102/658]  15.5% | OK:102  FAIL:0    SKIP:0   | OK           | 17828s | ETA:21172m | GUMNet_MoE_Sparse|XANG|H3|s2025
[ 103/658]  15.7% | OK:103  FAIL:0    SKIP:0   | OK           | 2511s | ETA:20940m | FedFormer|XANG|H5|s2025
[ 104/658]  15.8% | OK:104  FAIL:0    SKIP:0   | OK           | 2646s | ETA:20794m | Informer|XANG|H5|s2025
[ 105/658]  16.0% | OK:105  FAIL:0    SKIP:0   | OK           | 2379s | ETA:20591m | UniTS|XANG|H5|s2025
[ 106/658]  16.1% | OK:106  FAIL:0    SKIP:0   | OK           | 3011s | ETA:20387m | Reformer|XANG|H5|s2025
[ 107/658]  16.3% | OK:107  FAIL:0    SKIP:0   | OK           | 3003s | ETA:20168m | iTransformer|XANG|H5|s2025
[ 108/658]  16.4% | OK:108  FAIL:0    SKIP:0   | OK           | 2594s | ETA:19984m | TimeXer|XANG|H5|s2025
[ 109/658]  16.6% | OK:109  FAIL:0    SKIP:0   | OK           | 2340s | ETA:19769m | CARD|XANG|H5|s2025
[ 110/658]  16.7% | OK:110  FAIL:0    SKIP:0   | OK           | 3288s | ETA:19623m | Crossformer|XANG|H5|s2025
[ 111/658]  16.9% | OK:111  FAIL:0    SKIP:0   | OK           | 2434s | ETA:19467m | TimeMixer|XANG|H5|s2025
[ 112/658]  17.0% | OK:112  FAIL:0    SKIP:0   | OK           | 3218s | ETA:19292m | TimesNet|XANG|H5|s2025
[ 113/658]  17.2% | OK:113  FAIL:0    SKIP:0   | OK           | 2030s | ETA:19089m | CoST|XANG|H5|s2025
[ 114/658]  17.3% | OK:114  FAIL:0    SKIP:0   | OK           | 2902s | ETA:18912m | TTM|XANG|H5|s2025
[ 115/658]  17.5% | OK:115  FAIL:0    SKIP:0   | OK           | 2816s | ETA:18714m | FITS|XANG|H5|s2025
